id,genre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo
7oiqxhRXTv11kRqEV0D70G,punk,0.292,0.548,-4.977,0.0363,0.0827,0.0,0.207,175.053
3262RRKqFC1oJXFwCMqgM0,punk,0.481,0.973,-1.945,0.0542,0.0037,0.000877,0.362,99.331
7vBczWEtVRGXkI5HOISv7L,punk,0.242,0.983,-2.679,0.106,5.08e-05,4.43e-05,0.301,163.366
5EgnurNPXl2Arm2RDt6Aid,punk,0.513,0.937,-3.427,0.0532,0.000111,0.000102,0.543,155.015
7dN52YlyGl6c9tmxdv6zMp,punk,0.217,0.905,-4.103,0.0752,0.000289,0.00011,0.236,96.95
0Jli6hojT6aSBcFg4L2P5f,punk,0.289,0.796,-4.22,0.0494,0.00837,2.61e-05,0.33,169.835
4qPbHPTHniTcYt6oeboB7r,punk,0.445,0.977,-2.674,0.0995,0.000347,0.0235,0.239,105.825
2aRZu1pBAaQV1BdeaaWh4G,punk,0.457,0.515,-4.31,0.0261,0.358,0.0,0.222,74.984
7hSKf3yrno4avYqvTKeae7,punk,0.236,0.799,-5.167,0.0939,0.0136,0.0,0.303,208.951
6NK9g64i0EOGhXCfx27jTE,punk,0.188,0.952,-4.499,0.201,0.00138,0.000856,0.152,155.973
78OBZL4Z6QHdwwloWIh0Lt,punk,0.463,0.857,-3.063,0.0632,0.0506,0.0,0.856,111.647
75tLo0qRQ5v24jkRa1kgPX,punk,0.343,0.692,-3.926,0.0355,0.00218,0.0,0.153,174.07
27wqSh5wL0TrA3xuuDXWn0,punk,0.467,0.883,-3.679,0.106,0.000321,0.000152,0.309,122.252
6l7A6zpIDPeq7YBpE9BS2D,punk,0.739,0.405,-10.524,0.107,0.972,0.0,0.827,123.497
4fEWuOkN2waQ5q0BH9Ykd1,punk,0.28,0.959,-3.416,0.102,0.000487,0.0023,0.219,94.913
0mFtKch3OXHZ0oKKewXrjs,punk,0.61,0.74,-4.782,0.0363,0.0429,2.28e-06,0.617,102.553
2vHp0dygTtRJiiavIT0ajm,punk,0.234,0.972,-3.628,0.204,0.00501,0.766,0.504,169.257
7GtrWkU5QsMWNsHAxNXtCR,punk,0.435,0.797,-5.322,0.0801,0.0553,0.0,0.521,105.128
7tbEnOvJhd8TNiIzSAPgdN,punk,0.446,0.974,-4.764,0.103,0.000325,0.435,0.553,106.915
4ZPgbqIPdSGvDTzRBjpL3R,punk,0.389,0.754,-5.978,0.0783,0.00191,0.000206,0.579,161.034
7BhbxVV8F55B4vwMThf2EJ,punk,0.233,0.94,-5.408,0.0788,0.00325,0.0169,0.155,158.517
16y20Z3eXDjx8A0g7hE5Ru,punk,0.507,0.96,-3.951,0.0661,0.00125,0.238,0.486,106.248
3MFiumsps05X2QUgMeBmUw,punk,0.507,0.772,-4.395,0.0387,0.00499,0.0,0.637,171.763
0a03N0ce72aIJY4eHK8p2b,punk,0.532,0.776,-6.702,0.0444,0.044,1.11e-06,0.468,99.803
0nF9vweVf1fe2L2piR1P0F,punk,0.554,0.382,-11.824,0.0434,0.705,9.18e-05,0.277,74.363
2M8g01v2vUMn39YQ10l7ef,punk,0.518,0.772,-5.124,0.023,0.0088,0.000421,0.499,100.137
3CVK63YAWTCSc90CRBg7aD,punk,0.327,0.976,-3.911,0.125,0.000505,0.0,0.505,108.153
4CHgMsn2siH3llSPvaHruj,punk,0.321,0.981,-3.906,0.228,0.0149,0.0,0.168,98.951
3ZaS7Bcz9tpFIjfst63tSw,punk,0.367,0.959,-2.982,0.11,0.0544,0.0,0.103,125.939
0xlO6Imwi6jaFlCNWWzS7z,punk,0.372,0.893,-4.115,0.0706,0.00052,3.75e-06,0.636,185.936
14mqKOS4dHMf48spDuzfYv,punk,0.225,0.948,-2.945,0.136,0.00718,0.0,0.239,179.634
7L3ZztbqdEbKItCMELoMk5,punk,0.181,0.752,-5.519,0.0699,0.236,0.0,0.0372,144.766
60OyEYORxZjS7xlfoAgyjR,punk,0.187,0.906,-4.321,0.0785,0.000348,0.000297,0.231,87.513
5GkmWaLP20HiMZhlRCHE42,punk,0.462,0.446,-6.814,0.0256,0.425,0.0,0.195,74.992
7KZTEpNYr4OyGDhPE8V4dN,punk,0.24,0.798,-5.495,0.0939,0.0128,1.07e-06,0.293,208.71
4ysna0NWUk08Le3vU4x0iV,punk,0.467,0.859,-3.519,0.0593,0.036,0.0,0.836,110.773
51D32A7guJQTmjM5is9UMp,punk,0.469,0.876,-3.785,0.0959,0.00047,9.82e-06,0.299,122.348
7vb1HJXTK7hR3ug25xtiuY,punk,0.385,0.98,-2.764,0.0683,0.00021,0.0034,0.61,165.932
0M2hkIRjThYwmhgPYBBVWg,punk,0.615,0.948,-3.126,0.0383,0.000181,8.71e-06,0.398,110.986
1yvnnkDmD0NtmZYqai5eJT,punk,0.607,0.948,-3.686,0.0509,0.000599,0.256,0.701,131.989
2KbmrXsDOit0hvEdorMZ2o,punk,0.544,0.927,-3.238,0.0508,0.000254,0.00285,0.28,120.009
53rLsylqyS2zPTOWsiAAYe,punk,0.295,0.877,-1.965,0.0938,0.00154,0.0,0.296,117.706
11NkQnWiJLu57DCSJ0SshS,punk,0.278,0.926,-3.957,0.176,0.000331,5.17e-06,0.175,134.093
3Hgt4LiNlZwa2XAEZYnK8c,punk,0.29,0.937,-4.987,0.146,0.00155,2.06e-06,0.15,99.754
7fPCtCbdLncQTY4cdhlLnn,punk,0.518,0.772,-5.124,0.023,0.0088,0.000421,0.499,100.137
6lFiWOZIWULQI2IBYg3pP8,punk,0.327,0.976,-3.911,0.125,0.000505,0.0,0.505,108.153
3hU9CeY2ZeQPfSAsgN1SrG,punk,0.321,0.981,-3.906,0.228,0.0149,0.0,0.168,98.951
0zPJGnaQkL0xmiANRIQNtP,punk,0.367,0.959,-2.982,0.11,0.0544,0.0,0.103,125.939
002ocMtzPEdN3nTh1zJjXA,punk,0.372,0.893,-4.115,0.0706,0.00052,3.75e-06,0.636,185.936
3ujIRQ5lFWtxEpfbEn78y9,punk,0.225,0.948,-2.945,0.136,0.00718,0.0,0.239,179.634
0f2eysn6fAeh9DpUQY3ekG,punk,0.181,0.752,-5.519,0.0699,0.236,0.0,0.0372,144.766
